15595,"step3t6",1,637009,316,"2.2.5","\"2.2.5\",\"1.10.2\",\"0\",\"1.7.21.2\",\"1.7.21.8\",\"1.7.21.1\",\"1.7.21.3\",\"1.7.25.0\",\"1.7.23.1\",\"2.1.4\",\"1.4.0\"",30,"/xmodal/step3/step3t6/00001.php","2021-04-02 10:19:00","2021-04-02 10:19:00"
15596,"step3t6",2,16740,316,"1.5.0","\"1.6.6.4\",\"1.7.22.1\",\"1.7.21.3\",\"1.5.2.1\",\"1.6.1\",\"1.7.17.5\",\"0\",\"1.5.0\",\"1.6.3.0\",\"1.6.0\",\"1.5.5.1\"",30,"/xmodal/step3/step3t6/00002.php","2021-04-02 10:20:25","2021-04-02 10:20:25"
15597,"step3t6",3,47068,316,"1.7.23.0","\"1.3.0\",\"0\",\"1.3\",\"1.7.20.0\",\"1.7.19.3\",\"1.7.23.1\",\"1.1\",\"1.7.23.0\",\"1.7.0\",\"1.7.13\",\"1.7.21.0\"",20,"/xmodal/step3/step3t6/00003.php","2021-04-02 10:21:06","2021-04-02 10:21:06"
15598,"step3t6",4,3479155,316,"1.7.23.0","\"0\",\"1.7.23.0\",\"1.1\",\"1.7.1\",\"1.7.19.1\",\"1.7.20.2\",\"1.7.25.0\",\"1.7.19.0\",\"1.7.0\",\"1.7.4\",\"1.7.20.0\"",20,"/xmodal/step3/step3t6/00004.php","2021-04-02 10:21:19","2021-04-02 10:21:19"
15599,"step3t6",5,3132446,316,"1.11.0","\"1.10.4.9\",\"1.5.3.7\",\"1.11.0\",\"1.9.3.0\",\"1.7.21.0\",\"1.11.1\",\"1.9.2.0\",\"1.7.21.6\",\"0\",\"1.10.4.2\"",10,"/xmodal/step3/step3t6/00005.php","2021-04-02 10:21:40","2021-04-02 10:21:40"
15600,"step3t6",6,168835,316,"1.11.0","\"1.10.4.2\",\"1.6.4.15\",\"0\",\"1.11.0\",\"1.7.21.6\",\"1.5.3.7\",\"1.10.4.8\",\"1.11.1\",\"1.9.3.0\",\"1.7.21.0\"",10,"/xmodal/step3/step3t6/00006.php","2021-04-02 10:21:49","2021-04-02 10:21:49"
15601,"step3t6",7,17297,316,"3.8","\"0\",\"3.8\",\"1.7.0\",\"1.7.21.0\",\"1.7.23.1\"",20,"/xmodal/step3/step3t6/00007.php","2021-04-02 10:22:18","2021-04-02 10:22:18"
15602,"step3t6",8,17300,316,"3.8","\"1.7.21.0\",\"0\",\"1.7.0\",\"3.8\",\"1.7.18.0\",\"1.11.1\"",20,"/xmodal/step3/step3t6/00008.php","2021-04-02 10:22:27","2021-04-02 10:22:27"
15603,"step3t6",9,2607486,316,"1.7.17.5","\"1.5.0\",\"1.7.6\",\"1.7.0\",\"1.6.6.4\",\"1.7.21.5\",\"1.7.4\",\"1.6.5.1\",\"1.7.17.5\",\"1.6.1\",\"1.7.22.1\"",30,"/xmodal/step3/step3t6/00009.php","2021-04-02 10:23:21","2021-04-02 10:23:21"
15604,"step3t6",10,1379670,316,"1.6.6.4","\"1.7.17.5\",\"1.7.17.2\",\"1.7.19.4\",\"1.7.0\",\"1.7.21.5\",\"1.6.6.4\",\"1.7.4\",\"1.6.6.1\",\"1.7.22.1\",\"1.6.6.0\"",10,"/xmodal/step3/step3t6/00010.php","2021-04-02 10:23:32","2021-04-02 10:23:32"
15605,"step3t6",11,410468,316,"1.7.17.5","\"1.7.22.1\",\"1.6.5.1\",\"1.7.17.5\",\"1.7.4\",\"1.6.6.4\",\"1.6.4.5\",\"1.7.21.5\",\"1.7.0\",\"1.7.19.4\",\"1.7.6\"",10,"/xmodal/step3/step3t6/00011.php","2021-04-02 10:23:55","2021-04-02 10:23:55"
15606,"step3t6",12,3248445,316,"1.3.0","\"1.7.17.5\",\"1.1\",\"1.6.4.13\",\"1.10.4.8\",\"1.7.0\",\"1.3.0\",\"0\",\"1.7.13\",\"1.3\",\"1.10.4.7\"",10,"/xmodal/step3/step3t6/00012.php","2021-04-02 10:24:10","2021-04-02 10:24:10"
15607,"step3t6",13,88243,316,"1.3.0","\"0\",\"1.10.4.7\",\"1.1\",\"1.10.4.0\",\"1.3.0\",\"1.4.0\",\"1.7.0\",\"1.3\",\"1.7.13\",\"1.10.4.8\"",10,"/xmodal/step3/step3t6/00013.php","2021-04-02 10:24:17","2021-04-02 10:24:17"
15608,"step3t6",14,2056525,316,"1.3.0","\"1.7.0\",\"1.7.17.5\",\"1.6.6.3\",\"1.3\",\"1.3.0\",\"1.10.4.8\",\"1.7.13\",\"1.1\",\"0\",\"1.10.4.7\"",10,"/xmodal/step3/step3t6/00014.php","2021-04-02 10:24:24","2021-04-02 10:24:24"
